{
debugQuery: { },
pageNumbers: 76,
scoreJsonStr: "{"_DY_price":"389.000000","mainCommodityId_1":"0","vendorType_1":"14180219187711517570","vendor_Id_1":"4514344487976192181","short_brand_Id_1":"11930319375233835709","isKAcomoodity":"1","totalCount":"1.000000","countOfarticle":"3","praiseRate":"100.000000","goodsQualityScore":"0.000080","shopQualityScore":"0.813300","sortArea":"0","saleStatus":"1","productType":"0","articleCount":"3","categoryId":"244006","goodQualityScore":"0.000030","totalScore":"3985.022705","fwqScore":"0.301187","bqScore":"0.992600","idsWeight":"0.000000","userTag":"0.000000","attrScore":"0.000000","rankLevel":"1","sortArea":"0","issScore":"1","productType":"0","articleCount":"3","categoryId":"244006","qHit":"1","cqHas":"1","cqHit":"1","idsHit":"0","accurateQuery":"0","accurateQueryHit":"0","humanScore":"0.000000","preciseScore":"0.000000","feedbackScore":"0.000000","articleCountScore":"0.192611","goodQualityScore":"0.000030","shopQualityScore":"0.813300","goodAppQualityScore":"0.000160","goodConQualityScore":"0.837200","zeroArticleDownScore":"0.000000","blackDownScore":"0.000000","keywordDownScore":"0.000000","shopDownScore":"0.000000","mbdBaseScore":"0.000000","mbdWeightScore":"0.000000","promotion_baseScore":"0.000000","promotion_weightScore":"0.000000","big_promotion_baseScore":"0.000000","big_promotion_weightScore":"0.000000","good_baseScore":"0.000000","good_weightScore":"0.000000","price_baseScore":"0.000000","price_weightScore":"0.000000","shop_baseScore":"0.000000","shop_weightScore":"0.000000","category_baseScore":"0.000000","category_weightScore":"0.000000","brand_baseScore":"0.000000","brand_weightScore":"0.000000","cc_baseScore":"0.000000","cc_weightScore":"0.000000","swl_baseScore":"0.000000","swl_weightScore":"0.000000","jcqk":"1.000000","jcjq":"1.000000","jch":"1.000000","jcm":"1.000000","jcl":"1.000000","rrh":"1.000000","rrm":"1.000000","rrl":"1.000000","snss":"0.500000","fp":"1.000000","sncp":"0.000000","catalogScore":"0.000000","provinceSalesScore":"0.000000","monthSalesScore":"0.000000","gendarScore":"0.000000","preciseArea":"0"}",
extenalFileds: {
mdmGroupId: "R0401001",
picVersion: "2002",
auxdescription: "婴儿宝宝宿舍洗衣机！低耗省电、定时洗衣快速甩干占地小！ 双筒黑色沉稳大气 居家必备良品",
ZYLY: "0",
appAttrTitle: [
"操作简单",
"三种洗涤模式",
"脱水定时"
],
attrShow: [
{
attrAppValue: "4-5.9kg",
attrId: "solr_101661_attrId",
attrName: "容量",
attrValue: "4-5.9kg",
attrValueId: "1199976",
sort: "39.0"
},
{
attrAppValue: "下排水",
attrId: "solr_54796_attrId",
attrName: "排水方式",
attrValue: "下排水",
attrValueId: "138701",
sort: "25.0"
}
],
specificUrl: "http://ieigo.suning.com",
paramValue: "46-1298S",
goodType: "Z001",
commentShow: "3"
},
saleStatus: 0
},
{
partnumberVendorId: "10532130579_0000000000",
vendorId: "0000000000",
vendorName: "苏宁自营",
inventory: "0",
auxdescription: "儿童迷你款半自动，洗脱两用，迷你机身设计，介意慎拍",
brandId: "000022318",
brandName: "志高(CHIGO)",
catentdesc: "志高(CHIGO)XPB50-160S 5.0公斤半自动迷你洗衣机 白色 迷你洗衣机 宝宝专用。",
catentryId: "",
countOfarticle: "15",
partnumber: "10532130579",
price: "390.0",
threeGroupId: "244006",
threeGroupName: "洗衣机",
contractInfos: "",
praiseRate: "93.000000",
suningSale: false,
areaNo: "0",
scoreJsonStr: "{"_DY_price":"390.000000","mainCommodityId_1":"0","vendorType_1":"14973660089898329583","vendor_Id_1":"17417399685840051433","short_brand_Id_1":"4787213202300532761","isKAcomoodity":"1","totalCount":"30.000000","countOfarticle":"15","praiseRate":"93.000000","goodsQualityScore":"0.001590","shopQualityScore":"1.000000","sortArea":"0","saleStatus":"1","productType":"0","articleCount":"15","categoryId":"244006","goodQualityScore":"0.001190","totalScore":"3984.985596","fwqScore":"0.301187","bqScore":"0.992600","idsWeight":"0.000000","userTag":"0.000000","attrScore":"0.000000","rankLevel":"1","sortArea":"0","issScore":"1","productType":"0","articleCount":"15","categoryId":"244006","qHit":"1","cqHas":"1","cqHit":"1","idsHit":"0","accurateQuery":"0","accurateQueryHit":"0","humanScore":"0.000000","preciseScore":"0.000000","feedbackScore":"0.000000","articleCountScore":"0.370295","goodQualityScore":"0.001190","shopQualityScore":"1.000000","goodAppQualityScore":"0.001160","goodConQualityScore":"0.815000","zeroArticleDownScore":"0.000000","blackDownScore":"0.000000","keywordDownScore":"0.000000","shopDownScore":"0.000000","mbdBaseScore":"0.000000","mbdWeightScore":"0.000000","promotion_baseScore":"0.000000","promotion_weightScore":"0.000000","big_promotion_baseScore":"0.000000","big_promotion_weightScore":"0.000000","good_baseScore":"0.000000","good_weightScore":"0.000000","price_baseScore":"0.000000","price_weightScore":"0.000000","shop_baseScore":"0.000000","shop_weightScore":"0.000000","category_baseScore":"0.000000","category_weightScore":"0.000000","brand_baseScore":"0.000000","brand_weightScore":"0.000000","cc_baseScore":"0.000000","cc_weightScore":"0.000000","swl_baseScore":"0.000000","swl_weightScore":"0.000000","jcqk":"1.000000","jcjq":"1.000000","jch":"1.000000","jcm":"1.000000","jcl":"1.000000","rrh":"1.000000","rrm":"1.000000","rrl":"1.000000","snss":"0.300000","fp":"1.000000","sncp":"0.000000","catalogScore":"0.000000","provinceSalesScore":"0.000000","monthSalesScore":"0.000000","gendarScore":"0.000000","preciseArea":"0"}",
extenalFileds: {
subInfos: "{"10532130579":{"url":"/uimg1/b2c/image/i2GxbPndRH_TVaHMSSW2cg==.jpg"}}",
mdmGroupId: "R0401001",
picVersion: "2003",
auxdescription: "儿童迷你款半自动，洗脱两用，迷你机身设计，介意慎拍",
appAttrTitle: [
"双桶双缸",
"洗脱两用",
"小巧静音"
],
attrShow: [
{
attrAppValue: "4-5.9kg",
attrId: "solr_101661_attrId",
attrName: "容量",
attrValue: "4-5.9kg",
attrValueId: "1199976",
sort: "39.0"
},
{
attrAppValue: "下排水",
attrId: "solr_54796_attrId",
attrName: "排水方式",
attrValue: "下排水",
attrValueId: "138701",
sort: "25.0"
}
],
paramValue: "XPB50-160S 白色色",
goodType: "Z001",
commentShow: "10+"
},
saleStatus: 0
},
{
partnumberVendorId: "10107728750_0070078274",
vendorId: "0070078274",
vendorName: "欧品电器旗舰店",
inventory: "0",
auxdescription: "少量洗，分类洗，洗脱两用",
brandId: "000020T97",
brandName: "欧品(OPING)",
catentdesc: "欧品（Oping）3公斤半自动波轮洗衣机 XPB30-188A",
catentryId: "",
countOfarticle: "12487",
partnumber: "10107728750",
price: "398.0",
threeGroupId: "244006",
threeGroupName: "洗衣机",
contractInfos: "",
praiseRate: "98.000000",
suningSale: false,
areaNo: "0",
scoreJsonStr: "{"_DY_price":"398.000000","mainCommodityId_1":"0","vendorType_1":"14180219187711517570","vendor_Id_1":"2484550498135221281","short_brand_Id_1":"14931630706082115678","isKAcomoodity":"1","totalCount":"4.000000","countOfarticle":"12487","praiseRate":"98.000000","goodsQualityScore":"0.000330","shopQualityScore":"0.788640","sortArea":"0","saleStatus":"1","productType":"0","articleCount":"12487","categoryId":"244006","goodQualityScore":"0.000250","totalScore":"3984.689453","fwqScore":"0.301187","bqScore":"0.992600","idsWeight":"0.000000","userTag":"0.000000","attrScore":"0.000000","rankLevel":"1","sortArea":"0","issScore":"1","productType":"0","articleCount":"12487","categoryId":"244006","qHit":"1","cqHas":"1","cqHit":"1","idsHit":"0","accurateQuery":"0","accurateQueryHit":"0","humanScore":"0.000000","preciseScore":"0.000000","feedbackScore":"0.000000","articleCountScore":"0.671941","goodQualityScore":"0.000250","shopQualityScore":"0.788640","goodAppQualityScore":"0.000150","goodConQualityScore":"0.886000","zeroArticleDownScore":"0.000000","blackDownScore":"0.000000","keywordDownScore":"0.000000","shopDownScore":"0.000000","mbdBaseScore":"0.000000","mbdWeightScore":"0.000000","promotion_baseScore":"0.000000","promotion_weightScore":"0.000000","big_promotion_baseScore":"0.000000","big_promotion_weightScore":"0.000000","good_baseScore":"0.000000","good_weightScore":"0.000000","price_baseScore":"0.000000","price_weightScore":"0.000000","shop_baseScore":"0.000000","shop_weightScore":"0.000000","category_baseScore":"0.000000","category_weightScore":"0.000000","brand_baseScore":"0.000000","brand_weightScore":"0.000000","cc_baseScore":"0.000000","cc_weightScore":"0.000000","swl_baseScore":"0.000000","swl_weightScore":"0.000000","jcqk":"1.000000","jcjq":"1.000000","jch":"1.000000","jcm":"1.000000","jcl":"1.000000","rrh":"1.000000","rrm":"1.000000","rrl":"1.000000","snss":"0.300000","fp":"1.000000","sncp":"0.000000","catalogScore":"0.000000","provinceSalesScore":"0.000000","monthSalesScore":"0.000000","gendarScore":"0.000000","preciseArea":"0"}",
extenalFileds: {
subInfos: "{"10107728750":{"url":"/uimg1/b2c/image/D9Fxg_RchkGZSgAVpLYjZw==.jpg"}}",
mdmGroupId: "R0401002",
picVersion: "2005",
auxdescription: "少量洗，分类洗，洗脱两用",
ZYLY: "0",
attrShow: [
{
attrAppValue: "4kg及以下",
attrId: "solr_101661_attrId",
attrName: "容量",
attrValue: "4kg及以下",
attrValueId: "1199987",
sort: "39.0"
},
{
attrAppValue: "非变频",
attrId: "solr_54440_attrId",
attrName: "变频",
attrValue: "非变频",
attrValueId: "795658",
sort: "30.0"
},
{
attrAppValue: "下排水",
attrId: "solr_54796_attrId",
attrName: "排水方式",
attrValue: "下排水",
attrValueId: "138701",
sort: "25.0"
}
],
specificUrl: "http://oping.suning.com",
paramValue: "XPB30-188A",
goodType: "Z001",
commentShow: "1.2万+"
},
saleStatus: 0
},
{
partnumberVendorId: "10107728783_0070078274",
vendorId: "0070078274",
vendorName: "欧品电器旗舰店",
inventory: "0",
auxdescription: "少量洗，分类洗，洗脱两用",
brandId: "000020T97",
brandName: "欧品(OPING)",
catentdesc: "欧品（Oping）3公斤半自动波轮洗衣机 XPB30-188A 中国红",
catentryId: "",
countOfarticle: "12487",
partnumber: "10107728783",
price: "398.0",
threeGroupId: "244006",
threeGroupName: "洗衣机",
contractInfos: "",
praiseRate: "98.000000",
suningSale: false,
areaNo: "0",
scoreJsonStr: "{"_DY_price":"398.000000","mainCommodityId_1":"0","vendorType_1":"14180219187711517570","vendor_Id_1":"2484550498135221281","short_brand_Id_1":"14931630706082115678","isKAcomoodity":"1","totalCount":"0.000000","countOfarticle":"12487","praiseRate":"98.000000","goodsQualityScore":"0.000070","shopQualityScore":"0.788640","sortArea":"0","saleStatus":"1","productType":"0","articleCount":"12487","categoryId":"244006","goodQualityScore":"0.000050","totalScore":"3984.689453","fwqScore":"0.301187","bqScore":"0.992600","idsWeight":"0.000000","userTag":"0.000000","attrScore":"0.000000","rankLevel":"1","sortArea":"0","issScore":"1","productType":"0","articleCount":"12487","categoryId":"244006","qHit":"1","cqHas":"1","cqHit":"1","idsHit":"0","accurateQuery":"0","accurateQueryHit":"0","humanScore":"0.000000","preciseScore":"0.000000","feedbackScore":"0.000000","articleCountScore":"0.671941","goodQualityScore":"0.000050","shopQualityScore":"0.788640","goodAppQualityScore":"0.000150","goodConQualityScore":"0.886000","zeroArticleDownScore":"0.000000","blackDownScore":"0.000000","keywordDownScore":"0.000000","shopDownScore":"0.000000","mbdBaseScore":"0.000000","mbdWeightScore":"0.000000","promotion_baseScore":"0.000000","promotion_weightScore":"0.000000","big_promotion_baseScore":"0.000000","big_promotion_weightScore":"0.000000","good_baseScore":"0.000000","good_weightScore":"0.000000","price_baseScore":"0.000000","price_weightScore":"0.000000","shop_baseScore":"0.000000","shop_weightScore":"0.000000","category_baseScore":"0.000000","category_weightScore":"0.000000","brand_baseScore":"0.000000","brand_weightScore":"0.000000","cc_baseScore":"0.000000","cc_weightScore":"0.000000","swl_baseScore":"0.000000","swl_weightScore":"0.000000","jcqk":"1.000000","jcjq":"1.000000","jch":"1.000000","jcm":"1.000000","jcl":"1.000000","rrh":"1.000000","rrm":"1.000000","rrl":"1.000000","snss":"0.300000","fp":"1.000000","sncp":"0.000000","catalogScore":"0.000000","provinceSalesScore":"0.000000","monthSalesScore":"0.000000","gendarScore":"0.000000","preciseArea":"0"}",
extenalFileds: {
subInfos: "{"10107728783":{"url":"/uimg1/b2c/image/c9NkYF0IO4ejXTTpC63-Fg==.jpg"}}",
mdmGroupId: "R0401002",
picVersion: "2005",
auxdescription: "少量洗，分类洗，洗脱两用",
ZYLY: "0",
attrShow: [
{
attrAppValue: "4kg及以下",
attrId: "solr_101661_attrId",
attrName: "容量",
attrValue: "4kg及以下",
attrValueId: "1199987",
sort: "39.0"
},
{
attrAppValue: "非变频",
attrId: "solr_54440_attrId",
attrName: "变频",
attrValue: "非变频",
attrValueId: "795658",
sort: "30.0"
},
{
attrAppValue: "下排水",
attrId: "solr_54796_attrId",
attrName: "排水方式",
attrValue: "下排水",
attrValueId: "138701",
sort: "25.0"
}
],
specificUrl: "http://oping.suning.com",
paramValue: "XPB30-188A",
goodType: "Z001",
commentShow: "1.2万+"
},
saleStatus: 0
},
{
partnumberVendorId: "168507477_0070144003",
vendorId: "0070144003",
vendorName: "品质生活电器专营店",
inventory: "0",
auxdescription: "新品上架",
brandId: "00002216Y",
brandName: "蔓睫",
catentdesc: "杀菌烘衣机",
catentryId: "",
countOfarticle: "0",
partnumber: "168507477",
price: "398.0",
threeGroupId: "244006",
threeGroupName: "洗衣机",
contractInfos: "",
praiseRate: "0.000000",
suningSale: false,
areaNo: "0",
scoreJsonStr: "{"_DY_price":"398.000000","mainCommodityId_1":"0","vendorType_1":"14180219187711517570","vendor_Id_1":"2909689568150859696","short_brand_Id_1":"6498810714302385670","isKAcomoodity":"1","totalCount":"0.000000","countOfarticle":"0","praiseRate":"0.000000","goodsQualityScore":"0.000000","shopQualityScore":"0.633580","sortArea":"0","saleStatus":"1","productType":"0","articleCount":"0","categoryId":"244006","goodQualityScore":"0.000000","totalScore":"3984.689453","fwqScore":"0.125619","bqScore":"0.992600","idsWeight":"0.000000","userTag":"0.000000","attrScore":"0.000000","rankLevel":"1","sortArea":"0","issScore":"1","productType":"0","articleCount":"0","categoryId":"244006","qHit":"1","cqHas":"1","cqHit":"1","idsHit":"0","accurateQuery":"0","accurateQueryHit":"0","humanScore":"0.000000","preciseScore":"0.000000","feedbackScore":"0.000000","articleCountScore":"0.000000","goodQualityScore":"0.000000","shopQualityScore":"0.633580","goodAppQualityScore":"0.000000","goodConQualityScore":"0.640000","zeroArticleDownScore":"1.000000","blackDownScore":"0.000000","keywordDownScore":"0.000000","shopDownScore":"0.000000","mbdBaseScore":"0.000000","mbdWeightScore":"0.000000","promotion_baseScore":"0.000000","promotion_weightScore":"0.000000","big_promotion_baseScore":"0.000000","big_promotion_weightScore":"0.000000","good_baseScore":"0.000000","good_weightScore":"0.000000","price_baseScore":"0.000000","price_weightScore":"0.000000","shop_baseScore":"0.000000","shop_weightScore":"0.000000","category_baseScore":"0.000000","category_weightScore":"0.000000","brand_baseScore":"0.000000","brand_weightScore":"0.000000","cc_baseScore":"0.000000","cc_weightScore":"0.000000","swl_baseScore":"0.000000","swl_weightScore":"0.000000","jcqk":"1.000000","jcjq":"0.500000","jch":"1.000000","jcm":"1.000000","jcl":"1.000000","rrh":"1.000000","rrm":"1.000000","rrl":"1.000000","snss":"0.300000","fp":"1.000000","sncp":"0.000000","catalogScore":"0.000000","provinceSalesScore":"0.000000","monthSalesScore":"0.000000","gendarScore":"0.000000","preciseArea":"0"}",
extenalFileds: {
mdmGroupId: "R0402001",
auxdescription: "新品上架",
ZYLY: "0",
attrShow: [
{
attrAppValue: "非变频",
attrId: "solr_54440_attrId",
attrName: "变频",
attrValue: "非变频",
attrValueId: "795658",
sort: "30.0"
}
],
specificUrl: "http://pinzhishenghuo.suning.com",
paramValue: "V2S",
goodType: "Z001",
commentShow: "0"
},
saleStatus: 0
},
{
partnumberVendorId: "180137049_0070167432",
vendorId: "0070167432",
vendorName: "柏帆电器旗舰店",
inventory: "0",
auxdescription: "【 实用双缸】可同时洗脱 节水省电",
brandId: "0000206G3",
brandName: "海鸥(HAIOU)",
catentdesc: "海鸥(HAIOU)XPB72-668S 7.2kg超大容量双缸洗衣机全国联保",
catentryId: "",
countOfarticle: "1308",
partnumber: "180137049",
price: "399.0",
threeGroupId: "244006",
threeGroupName: "洗衣机",
contractInfos: "",
praiseRate: "99.000000",
suningSale: false,
areaNo: "0",
scoreJsonStr: "{"_DY_price":"399.000000","mainCommodityId_1":"0","vendorType_1":"14180219187711517570","vendor_Id_1":"7301041014369649991","short_brand_Id_1":"3345836991511030592","isKAcomoodity":"1","totalCount":"6.000000","countOfarticle":"1308","praiseRate":"99.000000","goodsQualityScore":"0.000636","shopQualityScore":"0.728410","sortArea":"0","saleStatus":"1","productType":"0","articleCount":"1308","categoryId":"244006","goodQualityScore":"0.000516","totalScore":"3984.652344","fwqScore":"0.301187","bqScore":"0.992600","idsWeight":"0.000000","userTag":"0.000000","attrScore":"0.000000","rankLevel":"1","sortArea":"0","issScore":"1","productType":"0","articleCount":"1308","categoryId":"244006","qHit":"1","cqHas":"1","cqHit":"1","idsHit":"0","accurateQuery":"0","accurateQueryHit":"0","humanScore":"0.000000","preciseScore":"0.000000","feedbackScore":"0.000000","articleCountScore":"0.609116","goodQualityScore":"0.000516","shopQualityScore":"0.728410","goodAppQualityScore":"0.000972","goodConQualityScore":"0.895000","zeroArticleDownScore":"0.000000","blackDownScore":"0.000000","keywordDownScore":"0.000000","shopDownScore":"0.000000","mbdBaseScore":"0.000000","mbdWeightScore":"0.000000","promotion_baseScore":"0.000000","promotion_weightScore":"0.000000","big_promotion_baseScore":"0.000000","big_promotion_weightScore":"0.000000","good_baseScore":"0.000000","good_weightScore":"0.000000","price_baseScore":"0.000000","price_weightScore":"0.000000","shop_baseScore":"0.000000","shop_weightScore":"0.000000","category_baseScore":"0.000000","category_weightScore":"0.000000","brand_baseScore":"0.000000","brand_weightScore":"0.000000","cc_baseScore":"0.000000","cc_weightScore":"0.000000","swl_baseScore":"0.000000","swl_weightScore":"0.000000","jcqk":"1.000000","jcjq":"1.000000","jch":"1.000000","jcm":"1.000000","jcl":"1.000000","rrh":"1.000000","rrm":"1.000000","rrl":"1.000000","snss":"0.300000","fp":"1.000000","sncp":"0.000000","catalogScore":"0.000000","provinceSalesScore":"0.000000","monthSalesScore":"0.000000","gendarScore":"0.000000","preciseArea":"0"}",
extenalFileds: {
mdmGroupId: "R0401001",
picVersion: "2001",
auxdescription: "【 实用双缸】可同时洗脱 节水省电",
ZYLY: "0",
activationFlag: "1",
attrShow: [
{
attrAppValue: "7-7.9kg",
attrId: "solr_101661_attrId",
attrName: "容量",
attrValue: "7-7.9kg",
attrValueId: "1199977",
sort: "39.0"
},
{
attrAppValue: "下排水",
attrId: "solr_54796_attrId",
attrName: "排水方式",
attrValue: "下排水",
attrValueId: "138701",
sort: "25.0"
}
],
specificUrl: "http://bofandianqi.suning.com",
paramValue: "XPB72-668S",
goodType: "Z001",
commentShow: "1300+"
},
saleStatus: 0
},
{
partnumberVendorId: "682028225_0070147129",
vendorId: "0070147129",
vendorName: "海鸥官方旗舰店",
inventory: "0",
auxdescription: "【6.8公斤洗涤容量 强力洗涤】 【全塑箱体不生锈】",
